Comment,Designator,Footprint,LCSC
100n,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
10k,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Conn_01x01,VDC1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
SS9018,Q1,PinSocket_1x03_P2.54mm_Vertical,
100n,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
22,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
SMA,OUT1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,
SMA,IN1,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,
MountingHole_Pad,H1,MountingHole_2.2mm_M2_Pad_Via,
100u,C3,CP_Radial_D4.0mm_P2.00mm,
Conn_01x01,GND1,TestPoint_THTPad_2.5x2.5mm_Drill1.2mm,
MountingHole_Pad,H2,MountingHole_2.2mm_M2_Pad_Via,
100n,C5,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100n,C4,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
MountingHole_Pad,H3,MountingHole_2.2mm_M2_Pad_Via,
1uH,L1,L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1,
2k,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
390,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
MountingHole_Pad,H4,MountingHole_2.2mm_M2_Pad_Via,
