Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,91.63,-104.6025,-90.0,top
C2,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,101.24,-100.5,0.0,top
C3,100u,CP_Radial_D4.0mm_P2.00mm,103.8,-96.95,0.0,top
C4,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,93.21,-99.2925,-90.0,top
C5,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,103.88,-110.76,0.0,top
IN1,SMA,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,87.77,-103.02,180.0,top
L1,1uH,L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1,101.45,-108.15,180.0,top
OUT1,SMA,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,109.43,-102.435,0.0,top
Q1,SS9018,PinSocket_1x03_P2.54mm_Vertical,95.73,-108.22,0.0,top
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,103.86,-113.19,0.0,top
R3,2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,98.96,-104.23,-90.0,top
R4,390,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,91.64,-109.77,90.0,top
R5,22,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95.73,-101.23,-90.0,top
